Month,Year,Region,Volume,Type,LogVolume
Feb,2015,TotalUS,2761394.97,organic,6.44112852942937
Oct,2015,Chicago,2762039.65,conventional,6.44122990872944
Jun,2015,SanFrancisco,2775735.33,conventional,6.44337805320918
Jul,2016,SanDiego,2785992.05,conventional,6.44497987280365
Jan,2015,WestTexNewMexico,2793612.27,conventional,6.44616612952175
Jun,2017,SanFrancisco,2794355.1,conventional,6.44628159439494
May,2019,West Tex/New Mexico,2799382,conventional,6.44706216576602
Feb,2018,Atlanta,2806408.9,conventional,6.44815094897171
Jan,2015,BaltimoreWashington,2808932.8,conventional,6.44854134940511
Nov,2017,WestTexNewMexico,2828731.45,conventional,6.45159171899494
May,2019,San Francisco,2832087,conventional,6.45210659048651
Feb,2019,San Diego,2838243.29,conventional,6.45304961979513
Jan,2015,Denver,2838518.57,conventional,6.45309173978819
May,2015,SanDiego,2840522.56,conventional,6.45339824288087
Apr,2016,MiamiFtLauderdale,2840765.88,conventional,6.45343544308097
Mar,2019,Detroit,2846125.96,conventional,6.4542541165924
Jun,2016,Seattle,2848944.65,conventional,6.45468401174103
Jan,2018,MiamiFtLauderdale,2851863.71,conventional,6.45512876682876
Nov,2015,TotalUS,2856441.15,organic,6.45582528091064
Jan,2019,Portland,2856894.55,conventional,6.45589421056185
Jul,2016,Atlanta,2857647.04,conventional,6.45600858623011
Mar,2017,Seattle,2858809.85,conventional,6.45618526978889
Mar,2019,Northern New England,2869132.53,conventional,6.45775060949324
Apr,2019,Atlanta,2870719.35,conventional,6.45799073666089
Sep,2017,PhoenixTucson,2872272.99,conventional,6.45822571426677
Mar,2016,Seattle,2872895.44,conventional,6.45831981998521
Mar,2016,Portland,2883321.49,conventional,6.45989306887063
Oct,2016,SanFrancisco,2885422.35,conventional,6.46020939144306
Jun,2017,BaltimoreWashington,2909511.79,conventional,6.46382012139249
Apr,2017,MiamiFtLauderdale,2910795.19,conventional,6.46401164859166
May,2015,Boston,2911098.55,conventional,6.46405690794542
Feb,2019,Tampa,2911348.05,conventional,6.46409412820032
Aug,2016,Denver,2913569.57,conventional,6.46442539260169
Jun,2016,Portland,2913827.27,conventional,6.4644638034706
Apr,2017,Boston,2917829.26,conventional,6.46505987507994
Sep,2015,Denver,2919438.55,conventional,6.4652993384067
Apr,2015,Denver,2922257.17,conventional,6.46571843288414
May,2015,Seattle,2922605.37,conventional,6.46577017792955
May,2017,SanFrancisco,2925582.92,conventional,6.46621241185986
